PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2014,2030,Segun Roxi,La Maldita S.R.L.,Programa Televisivo,31/7/2014,31/07/2014,"CARRANZA, ANGEL JUSTINIANO 2002","CARRANZA, ANGEL JUSTINIANO",2002,PALERMO,COMUNA 14,1414,C1414COZ,"-58,43544547","-34,57992307"
2011,2031,Mamaestras,Folk Cine Sa,Cine Publicitario,17/5/2011,17/05/2011,"CARRANZA, ANGEL JUSTINIANO 2045","CARRANZA, ANGEL JUSTINIANO",2045,PALERMO,COMUNA 14,1414,C1414COY,"-58,43503338","-34,57971252"
2012,2032,Ojo / Varicela,Labhouse S.A.,Cine Publicitario,25/4/2012,25/04/2012,"CARRANZA, ANGEL JUSTINIANO 2340","CARRANZA, ANGEL JUSTINIANO",2340,PALERMO,COMUNA 14,1425,C1425FXF,"-58,43255501","-34,57740058"
2014,2033,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,5/2/2014,05/02/2014,"CARRIL, SALVADOR MARIA DEL AV. 3531","CARRIL, SALVADOR MARIA DEL AV.",3531,VILLA DEVOTO,COMUNA 11,1419,C1419HAB,"-58,50666549","-34,59582647"
2012,2034,Condicionados,Pol-ka Producciones S.A.,Programa Televisivo,4/5/2012,04/05/2012,"CARRIL, SALVADOR MARIA DEL AV. 3545","CARRIL, SALVADOR MARIA DEL AV.",3545,VILLA DEVOTO,COMUNA 11,1419,C1419HAB,"-58,506832","-34,59592934"
2012,2035,Condicionados,Pol-ka Producciones S.A.,Programa Televisivo,30/5/2012,30/05/2012,"CARRIL, SALVADOR MARIA DEL AV. 3545","CARRIL, SALVADOR MARIA DEL AV.",3545,VILLA DEVOTO,COMUNA 11,1419,C1419HAB,"-58,506832","-34,59592934"
2012,2036,Condicionados,Pol-ka Producciones S.A.,Programa Televisivo,21/5/2012,21/05/2012,"CARRIL, SALVADOR MARIA DEL AV. 3547","CARRIL, SALVADOR MARIA DEL AV.",3547,VILLA DEVOTO,COMUNA 11,1419,C1419HAB,"-58,506832","-34,59592934"
2015,2037,Milagros En Campania,El Oso Producciones Srl,Programa Televisivo,12/3/2015,12/03/2015,"CARRIL, SALVADOR MARIA DEL AV. 4257","CARRIL, SALVADOR MARIA DEL AV.",4257,VILLA DEVOTO,COMUNA 11,1419,C1419HAI,"-58,51504828","-34,60100228"
2013,2038,Futuros Lideres,Fundacion Del Cine,Estudiantes,3/10/2013,03/10/2013,"CARRIL, SALVADOR MARIA DEL AV. 4702","CARRIL, SALVADOR MARIA DEL AV.",4702,VILLA DEVOTO,COMUNA 11,1419,C1419HBP,"-58,52073671","-34,60474283"
2013,2039,Naadie Puede Leernos,Fundacion Del Cine,Estudiantes,13/10/2013,13/10/2013,"CARRIL, SALVADOR MARIA DEL AV. 4702","CARRIL, SALVADOR MARIA DEL AV.",4702,VILLA DEVOTO,COMUNA 11,1419,C1419HBP,"-58,52073671","-34,60474283"
2014,2040,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,5/2/2014,05/02/2014,"CARRIL, SALVADOR MARIA DEL AV. 5052","CARRIL, SALVADOR MARIA DEL AV.",5052,VILLA DEVOTO,COMUNA 11,1419,C1419HBS,"-58,52561685","-34,60792574"
2014,2041,Mad Moves,Labhouse S.A.,Cine Publicitario,16/12/2014,16/12/2014,"CARRILLO, RAMON, DR. 535","CARRILLO, RAMON, DR.",535,BARRACAS,COMUNA 4,1275,C1275AHK,"-58,38094137","-34,64013228"
2012,2042,Ojo / Varicela,Labhouse S.A.,Cine Publicitario,24/4/2012,24/04/2012,CASAFOUST 564,CASAFOUST,564,VILLA CRESPO,COMUNA 15,1416,C1416EEB,"-58,45460936","-34,59857592"
2012,2043,Embarcados,Mancha Productora Srl,Programa Televisivo,2/8/2012,02/08/2012,CASARES AV. 3550,CASARES AV.,3550,PALERMO,COMUNA 14,1425,C1425EWO,"-58,4082337","-34,5752658"
2015,2044,Chistoso,48m2 S.A.,Cine Publicitario,3/9/2015,03/09/2015,CASARES AV. 3570,CASARES AV.,3570,PALERMO,COMUNA 14,1425,C1425EWO,"-58,40813517","-34,57516139"
2013,2045,Tango: Pasion Argentina,Radio Y Television Argentina Se,Programa Televisivo,16/4/2013,16/04/2013,CASARES AV. 3600,CASARES AV.,3600,PALERMO,COMUNA 14,1425,C1425EWO,"-58,4080142","-34,57503317"
2013,2046,Tango: Pasion Argentina,Radio Y Television Argentina Se,Programa Televisivo,31/10/2013,31/10/2013,CASARES AV. 3600,CASARES AV.,3600,PALERMO,COMUNA 14,1425,C1425EWO,"-58,4080142","-34,57503317"
2013,2047,Tango: Pasion Argentina,Radio Y Television Argentina Se,Programa Televisivo,12/12/2013,12/12/2013,CASARES AV. 3600,CASARES AV.,3600,PALERMO,COMUNA 14,1425,C1425EWO,"-58,4080142","-34,57503317"
2011,2048,Cardinal,Lomo Cine S.R.L.,Cine Publicitario,2/4/2011,02/04/2011,CASARES AV. 3999,CASARES AV.,3999,PALERMO,COMUNA 14,1425,C1425EWF,"-58,40909533","-34,56949642"
2011,2049,Faces,Orbit Producciones Sa,Cine Publicitario,27/7/2011,27/07/2011,CASARES AV. 4000,CASARES AV.,4000,PALERMO,COMUNA 14,1425,C1425EWS,"-58,40909391","-34,56949195"
2013,2050,Liberty,Casares Nicolas Otero Sebastian Sh,Cine Publicitario,20/12/2013,20/12/2013,"CASARES, ADOLFO BIOY 2001","CASARES, ADOLFO BIOY",2001,RECOLETA,COMUNA 2,1129,C1129ACA,"-58,38966885","-34,58722468"
2012,2051,Lynch,Utopica Group Srl,Programa Televisivo,5/12/2012,05/12/2012,"CASARES, ADOLFO BIOY 2001","CASARES, ADOLFO BIOY",2001,RECOLETA,COMUNA 2,1129,C1129ACA,"-58,38966885","-34,58722468"
2014,2052,Raid,Huinca Cine Sa,Cine Publicitario,28/10/2014,28/10/2014,"CASARES, ADOLFO BIOY 2037","CASARES, ADOLFO BIOY",2037,RECOLETA,COMUNA 2,1129,C1129ACA,"-58,38934593","-34,58690814"
2012,2053,Ford Fiesta,Sergio Teubal,Cine Publicitario,11/11/2012,11/11/2012,"CASARES, ADOLFO BIOY 2050","CASARES, ADOLFO BIOY",2050,RECOLETA,COMUNA 2,1129,C1129ACB,"-58,38917263","-34,58662228"
2011,2054,Andes Norte,Landia S.R.L.,Cine Publicitario,4/9/2011,04/09/2011,CASEROS AV. 2550,CASEROS AV.,2550,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAS,"-58,39811225","-34,63583082"
2011,2055,Andes Norte,Landia S.R.L.,Cine Publicitario,31/8/2011,31/08/2011,CASEROS AV. 2550,CASEROS AV.,2550,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAS,"-58,39811225","-34,63583082"
2011,2056,Andes Norte,Landia S.R.L.,Cine Publicitario,2/9/2011,02/09/2011,CASEROS AV. 2550,CASEROS AV.,2550,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAS,"-58,39811225","-34,63583082"
2011,2057,Andes Norte,Landia S.R.L.,Cine Publicitario,9/9/2011,09/09/2011,CASEROS AV. 2550,CASEROS AV.,2550,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAS,"-58,39811225","-34,63583082"
2015,2058,El Papa De La Gente,Metropolis Films Sa,Largometraje,6/2/2015,06/02/2015,CASEROS AV. 2780,CASEROS AV.,2780,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAU,"-58,40192908","-34,63654013"
2014,2059,Puntos Verdes,Rozca S.A.,Cine Publicitario,3/10/2014,03/10/2014,CASEROS AV. 3001,CASEROS AV.,3001,PARQUE PATRICIOS,COMUNA 4,1264,C1264AAK,"-58,40575836","-34,63706139"
2014,2060,El Karma De Carmen,Sombracine S.R.L.,Largometraje Con I.N.C.A.A.,1/4/2014,01/04/2014,CASEROS AV. 3159,CASEROS AV.,3159,PARQUE PATRICIOS,COMUNA 4,1263,C1263AAA,"-58,40813908","-34,63747343"
2012,2061,La Viuda De Rafael,Atuel Producciones Srl,Programa Televisivo,15/8/2012,15/08/2012,CASEROS AV. 3159,CASEROS AV.,3159,PARQUE PATRICIOS,COMUNA 4,1263,C1263AAA,"-58,40813908","-34,63747343"
2013,2062,Them Boots,Compañía Argentina De Peliculas Srl,Cine Publicitario,16/9/2013,16/09/2013,CASEROS AV. 3159,CASEROS AV.,3159,PARQUE PATRICIOS,COMUNA 4,1263,C1263AAA,"-58,40813908","-34,63747343"
2012,2063,Danone - Vidacol,Cru Films S.R.L.,Cine Publicitario,24/1/2012,24/01/2012,CASEROS AV. 3241,CASEROS AV.,3241,PARQUE PATRICIOS,COMUNA 4,1263,C1263AAB,"-58,41002731","-34,63780106"
2013,2064,Buenos Aires,Cisne Films Srl,Video Clip,13/3/2013,13/03/2013,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2011,2065,Hafslund,Ladoblea S.A.,Cine Publicitario,2/12/2011,02/12/2011,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2011,2066,Jumbo,Aguirrefilms Srl,Cine Publicitario,9/8/2011,09/08/2011,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2012,2067,La Farruca,Rozca S.A.,Cine Publicitario,26/9/2012,26/09/2012,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2012,2068,Orange,Rozca S.A.,Cine Publicitario,14/1/2012,14/01/2012,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2012,2069,Sola Contigo,Aguirrefilms Srl,Largometraje Con I.N.C.A.A.,12/11/2012,12/11/2012,CASEROS AV. 401,CASEROS AV.,401,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37109009","-34,62656108"
2015,2070,Chevrolet,Dorothy Films Srl,Fotografia,20/4/2015,20/04/2015,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2071,Magistral,Rebolucion S.A.,Cine Publicitario,7/4/2014,07/04/2014,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2072,Nugaton,Rasti Films Sa,Cine Publicitario,4/5/2015,04/05/2015,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2073,Signos,Pol-ka Producciones S.A.,Programa Televisivo,4/9/2015,04/09/2015,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2074,Signos,Pol-ka Producciones S.A.,Programa Televisivo,11/9/2015,11/09/2015,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2075,Skip Prada,Rebolucion S.A.,Cine Publicitario,22/9/2012,22/09/2012,CASEROS AV. 402,CASEROS AV.,402,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2013,2076,Baggio,Cru Films S.R.L.,Cine Publicitario,16/8/2013,16/08/2013,CASEROS AV. 420,CASEROS AV.,420,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2077,Club Social,Raya Sa,Cine Publicitario,5/5/2012,05/05/2012,CASEROS AV. 422,CASEROS AV.,422,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2078,Mesa,48m2 S.A.,Cine Publicitario,19/12/2011,19/12/2011,CASEROS AV. 422,CASEROS AV.,422,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2079,Ojo / Varicela,Labhouse S.A.,Cine Publicitario,25/4/2012,25/04/2012,CASEROS AV. 422,CASEROS AV.,422,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2080,Schick,Compañía Argentina De Peliculas Srl,Cine Publicitario,13/11/2015,13/11/2015,CASEROS AV. 425,CASEROS AV.,425,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37146108","-34,62658245"
2013,2081,Camisetas,Primo Audiovisual S.R.L.,Cine Publicitario,4/10/2013,04/10/2013,CASEROS AV. 430,CASEROS AV.,430,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2082,Head & Shoulders,Pioneras Producciones Sa,Cine Publicitario,26/2/2011,26/02/2011,CASEROS AV. 430,CASEROS AV.,430,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2083,Amazon,Compañía Argentina De Peliculas Srl,Cine Publicitario,22/5/2014,22/05/2014,CASEROS AV. 440,CASEROS AV.,440,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2013,2084,Deichmann,Goodgate Sa,Cine Publicitario,15/12/2013,15/12/2013,CASEROS AV. 440,CASEROS AV.,440,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2085,Vida,23 S.A.,Cine Publicitario,19/4/2014,19/04/2014,CASEROS AV. 440,CASEROS AV.,440,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2013,2086,Alta Cumbia,Aleph Media Sa,Largometraje Nacional,14/10/2013,14/10/2013,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2087,Campania Pro,Fly Films Sa,Cine Publicitario,5/7/2011,05/07/2011,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2088,Geox,Vertigo Films Srl,Cine Publicitario,2/3/2012,02/03/2012,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2089,Geox,Vertigo Films Srl,Cine Publicitario,3/3/2012,03/03/2012,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2090,O Boticario,Rebolucion S.A.,Cine Publicitario,27/7/2012,27/07/2012,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2091,Santa Fe,Aguirrefilms Srl,Cine Publicitario,14/11/2012,14/11/2012,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2092,Tmn,Mondo Cine Srl,Cine Publicitario,7/1/2011,07/01/2011,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2093,Uma,Oruga Films S.A.,Fotografia,5/6/2014,05/06/2014,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2094,Todos Somos Actores,48m2 S.A.,Cine Publicitario,4/11/2015,04/11/2015,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2095,Todos Somos Actores,48m2 S.A.,Cine Publicitario,4/11/2015,04/11/2015,CASEROS AV. 442,CASEROS AV.,442,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2013,2096,Yanbal,Brite Productions Latin America Srl,Cine Publicitario,22/6/2013,22/06/2013,CASEROS AV. 449,CASEROS AV.,449,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37179077","-34,62660143"
2013,2097,Reunion,Rebolucion S.A.,Cine Publicitario,15/5/2013,15/05/2013,CASEROS AV. 450,CASEROS AV.,450,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2098,Tk Maxx,Labhouse S.A.,Cine Publicitario,27/2/2012,27/02/2012,CASEROS AV. 450,CASEROS AV.,450,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2099,Vw Para Toda La Vida,Landia S.R.L.,Cine Publicitario,31/3/2015,31/03/2015,CASEROS AV. 454,CASEROS AV.,454,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2012,2100,Novela Arbol,Endemol Argentina S.A.,Programa Televisivo,19/10/2012,19/10/2012,CASEROS AV. 463,CASEROS AV.,463,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37194004","-34,62661003"
2012,2101,Novela Arbol,Endemol Argentina S.A.,Programa Televisivo,25/10/2012,25/10/2012,CASEROS AV. 463,CASEROS AV.,463,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37194004","-34,62661003"
2012,2102,Bar De Los Logros,Rebolucion S.A.,Cine Publicitario,4/11/2012,04/11/2012,CASEROS AV. 470,CASEROS AV.,470,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2103,(des)encontrados,Fundacion Del Cine,Estudiantes,8/5/2014,08/05/2014,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2014,2104,(des)encontrados,Fundacion Del Cine,Estudiantes,9/5/2014,09/05/2014,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2014,2105,(des)encontrados,Fundacion Del Cine,Estudiantes,11/5/2014,11/05/2014,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2013,2106,En Terapia,Dori Media Contenidos Sa,Programa Televisivo,25/3/2013,25/03/2013,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2013,2107,En Terapia,Dori Media Contenidos Sa,Programa Televisivo,21/4/2013,21/04/2013,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2014,2108,En Terapia,Dori Media Contenidos Sa,Programa Televisivo,25/8/2014,25/08/2014,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2014,2109,En Terapia,Dori Media Contenidos Sa,Programa Televisivo,1/9/2014,01/09/2014,CASEROS AV. 485,CASEROS AV.,485,SAN TELMO,COMUNA 1,1152,C1152AAA,"-58,37226211","-34,62662858"
2014,2110,C&a Foto,Compañía Argentina De Peliculas Srl,Fotografia,17/6/2014,17/06/2014,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2111,Chef Boyardee,Fight By Flehner Sa,Cine Publicitario,16/7/2011,16/07/2011,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2112,Eco Bicisendas,Rozca S.A.,Cine Publicitario,6/12/2014,06/12/2014,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2011,2113,Garnier,48m2 S.A.,Cine Publicitario,8/1/2011,08/01/2011,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2015,2114,Tresemme,Poster Pagsa Srl,Cine Publicitario,18/9/2015,18/09/2015,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2014,2115,Warka,Ladoblea S.A.,Cine Publicitario,19/1/2014,19/01/2014,CASEROS AV. 486,CASEROS AV.,486,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37173556","-34,62677226"
2013,2116,Cuestion De Identidad,Zarlek Producciones Sa,Programa Televisivo,14/8/2013,14/08/2013,CASEROS AV. 500,CASEROS AV.,500,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37243575","-34,62680735"
2013,2117,Entrega De Los Martin Fierro 2013,Television Federal S.A.,Programa Televisivo,13/8/2013,13/08/2013,CASEROS AV. 500,CASEROS AV.,500,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37243575","-34,62680735"
2014,2118,Manifiesto,23 S.A.,Cine Publicitario,18/10/2014,18/10/2014,CASEROS AV. 500,CASEROS AV.,500,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37243575","-34,62680735"
2014,2119,Mundial Margarita,Subversiva Sa,Cine Publicitario,2/2/2014,02/02/2014,CASEROS AV. 500,CASEROS AV.,500,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37243575","-34,62680735"
2014,2120,Mundial Margarita,Subversiva Sa,Cine Publicitario,9/2/2014,09/02/2014,CASEROS AV. 500,CASEROS AV.,500,BARRACAS,COMUNA 4,1152,C1152AAN,"-58,37243575","-34,62680735"
2013,2121,Tv Por La Justicia,Llorente Y Villarruel Contenidos Sa,Programa Televisivo,18/9/2013,18/09/2013,CASEROS AV. 552,CASEROS AV.,552,BARRACAS,COMUNA 4,1152,C1152AAO,"-58,37316634","-34,6268377"
2011,2122,Febreze,Palermo Films Sa,Cine Publicitario,24/6/2011,24/06/2011,CASEROS AV. 655,CASEROS AV.,655,SAN TELMO,COMUNA 1,1152,C1152AAC,"-58,37423846","-34,62670642"
2011,2123,Febreze,Palermo Films Sa,Cine Publicitario,23/6/2011,23/06/2011,CASEROS AV. 655,CASEROS AV.,655,SAN TELMO,COMUNA 1,1152,C1152AAC,"-58,37423846","-34,62670642"
2014,2124,Ciudad,Turbo Trueno Sa,Cine Publicitario,22/3/2014,22/03/2014,CASEROS AV. 800,CASEROS AV.,800,BARRACAS,COMUNA 4,1152,C1152AAQ,"-58,37543225","-34,6273189"
2015,2125,Moscas Y Mosquitos,Fundacion Del Cine,Estudiantes,14/11/2015,14/11/2015,CASTAÃ‘ARES AV. 5900,CASTAÃ‘ARES AV.,5900,VILLA LUGANO,COMUNA 8,1439,C1439ALR,"-58,48220081","-34,674948"
2011,2126,Todo Lo Que Necesitas Es Amor,Sudestada Cine Srl,Largometraje Con I.N.C.A.A.,23/10/2011,23/10/2011,CASTAÃ‘EDA 1801,CASTAÃ‘EDA,1801,BELGRANO,COMUNA 13,1428,C1428BBA,"-58,43637539","-34,55414109"
2014,2127,Tuya,Tres Mentes Sa,Largometraje Con I.N.C.A.A.,8/9/2014,08/09/2014,CASTAÃ‘EDA 1801,CASTAÃ‘EDA,1801,BELGRANO,COMUNA 13,1428,C1428BBA,"-58,43637539","-34,55414109"
2011,2128,El Hombre De Tu Vida,Television Federal S.A.,Tv Ficcion,18/4/2011,18/04/2011,CASTAÃ‘EDA 1848,CASTAÃ‘EDA,1848,BELGRANO,COMUNA 13,1428,C1428BBB,"-58,43673969","-34,55384963"
2011,2129,El Hombre De Tu Vida,Television Federal S.A.,Tv Ficcion,11/4/2011,11/04/2011,CASTAÃ‘EDA 1848,CASTAÃ‘EDA,1848,BELGRANO,COMUNA 13,1428,C1428BBB,"-58,43673969","-34,55384963"
2011,2130,Maltratadas,Torneos Y Competencias Sa,Programa Televisivo,7/9/2011,07/09/2011,CASTAÃ‘EDA 1848,CASTAÃ‘EDA,1848,BELGRANO,COMUNA 13,1428,C1428BBB,"-58,43673969","-34,55384963"
2012,2131,Donato Crema,Hypnosis S.R.L.,Cine Publicitario,24/3/2012,24/03/2012,CASTAÃ‘EDA 1885,CASTAÃ‘EDA,1885,BELGRANO,COMUNA 13,1428,C1428BBA,"-58,43689894","-34,55353024"
2012,2132,El Triunfo De La Oblicua,Historias Cinematograficas Sa,Largometraje Con I.N.C.A.A.,28/3/2012,28/03/2012,CASTAÃ‘EDA 1901,CASTAÃ‘EDA,1901,BELGRANO,COMUNA 13,1428,C1428BBC,"-58,43718169","-34,55326712"
2012,2133,Bici Sendas,Puenzo Hnos. S.A.,Cine Publicitario,19/9/2012,19/09/2012,CASTELLI 202,CASTELLI,202,BALVANERA,COMUNA 3,1032,C1032AAB,"-58,40480708","-34,60751808"
2011,2134,Cencosud,Cecilia Glik,Cine Publicitario,18/2/2011,18/02/2011,CASTEX 3101,CASTEX,3101,PALERMO,COMUNA 14,1425,C1425CDA,"-58,403099","-34,57908747"
2012,2135,Tk Maxx 2,Labhouse S.A.,Cine Publicitario,3/3/2012,03/03/2012,CASTEX 3211,CASTEX,3211,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40378474","-34,57895991"
2012,2136,"Endless Stairs , Miss Red",Primo Audiovisual S.R.L.,Cine Publicitario,3/2/2012,03/02/2012,CASTEX 3217,CASTEX,3217,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40390558","-34,57897762"
2011,2137,Extranios En La Noche,M&s Produccion S.R.L.,Largometraje Nacional,26/8/2011,26/08/2011,CASTEX 3217,CASTEX,3217,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40390558","-34,57897762"
2012,2138,Pense Que Iba A Haber Fiesta,Gale Cine Srl,Largometraje Con I.N.C.A.A.,26/11/2012,26/11/2012,CASTEX 3217,CASTEX,3217,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40390558","-34,57897762"
2012,2139,Pense Que Iba A Haber Fiesta,Gale Cine Srl,Largometraje Con I.N.C.A.A.,14/12/2012,14/12/2012,CASTEX 3217,CASTEX,3217,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40390558","-34,57897762"
2011,2140,Uefa,Landia S.R.L.,Cine Publicitario,8/12/2011,08/12/2011,CASTEX 3217,CASTEX,3217,PALERMO,COMUNA 14,1425,C1425CDC,"-58,40390558","-34,57897762"
2015,2141,Goalstars,Pepper Producciones Sa,Programa Televisivo,22/2/2015,22/02/2015,CASTEX 3575,CASTEX,3575,PALERMO,COMUNA 14,1425,C1425CDI,"-58,40717385","-34,57633826"
2014,2142,Siete A Uno,B B & A Film & Marketing S.R.L.,Cine Publicitario,8/10/2014,08/10/2014,CASTEX 3600,CASTEX,3600,PALERMO,COMUNA 14,1425,C1425CDJ,"-58,4075032","-34,57620205"
2013,2143,Canon Print,Metropolis Films Sa,Cine Publicitario,12/3/2013,12/03/2013,CASTEX 3615,CASTEX,3615,PALERMO,COMUNA 14,1425,C1425CDK,"-58,40765197","-34,57605158"
2011,2144,Play,Goodgate Sa,Cine Publicitario,16/12/2011,16/12/2011,CASTEX 3640,CASTEX,3640,PALERMO,COMUNA 14,1425,C1425CDL,"-58,40792569","-34,57594872"
2012,2145,"Endless Stairs , Miss Red",Primo Audiovisual S.R.L.,Cine Publicitario,6/2/2012,06/02/2012,CASTEX 3650,CASTEX,3650,PALERMO,COMUNA 14,1425,C1425CDL,"-58,4080295","-34,57588647"
2013,2146,M,Oruga Films S.A.,Cine Publicitario,4/10/2013,04/10/2013,CASTEX 3650,CASTEX,3650,PALERMO,COMUNA 14,1425,C1425CDL,"-58,4080295","-34,57588647"
2013,2147,Belvita,Altana Films S.A.,Cine Publicitario,18/2/2013,18/02/2013,"CASTILLA, RAMON, MARISCAL 2701","CASTILLA, RAMON, MARISCAL",2701,PALERMO,COMUNA 14,1425,C1425DZA,"-58,40165093","-34,58198643"
