PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2012,23,Cepillando,Rebolucion S.A.,Cine Publicitario,6/10/2012,06/10/2012,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-58,45615794","-34,55265855"
2011,24,Danette Cindor,Raya Sa,Cine Publicitario,5/1/2011,05/01/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-58,45615794","-34,55265855"
2011,25,Fibertel,Landia S.R.L.,Cine Publicitario,18/6/2011,18/06/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-58,45615794","-34,55265855"
2011,26,Ritual,La Bestia Films Srl,Cine Publicitario,27/6/2011,27/06/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-58,45615794","-34,55265855"
2011,27,Tres Hombres Y Un Robo,Fundacion Del Cine,Estudiantes,9/7/2011,09/07/2011,11 DE SEPTIEMBRE DE 1888 2871,11 DE SEPTIEMBRE DE 1888,2871,NUÑEZ,COMUNA 13,1429,C1429BIA,"-58,45704852","-34,55146582"
2011,28,Tres Hombres Y Un Robo,Fundacion Del Cine,Estudiantes,15/7/2011,15/07/2011,11 DE SEPTIEMBRE DE 1888 2871,11 DE SEPTIEMBRE DE 1888,2871,NUÑEZ,COMUNA 13,1429,C1429BIA,"-58,45704852","-34,55146582"
2013,29,Entrega De Los Martin Fierro 2013,Television Federal S.A.,Programa Televisivo,30/9/2013,30/09/2013,11 DE SEPTIEMBRE DE 1888 2960,11 DE SEPTIEMBRE DE 1888,2960,NUÑEZ,COMUNA 13,1429,C1429BID,"-58,45769689","-34,55077025"
2013,30,Wolskvagen Plan,Metropolis Films Sa,Cine Publicitario,30/10/2013,30/10/2013,11 DE SEPTIEMBRE DE 1888 3102,11 DE SEPTIEMBRE DE 1888,3102,NUÑEZ,COMUNA 13,1429,C1429BIH,"-58,4586814","-34,5494038"
2015,31,Ing,Nunchaku Cine Srl,Cine Publicitario,9/2/2015,09/02/2015,11 DE SEPTIEMBRE DE 1888 4152,11 DE SEPTIEMBRE DE 1888,4152,NUÑEZ,COMUNA 13,1429,C1429BJB,"-58,46453439","-34,5414443"
2012,32,Amores De Historia,Oruga Films S.A.,Programa Televisivo,17/9/2012,17/09/2012,11 DE SEPTIEMBRE DE 1888 787,11 DE SEPTIEMBRE DE 1888,787,PALERMO,COMUNA 14,1426,C1426BKA,"-58,43983931","-34,57038533"
2011,33,Kleenex,Jacaranda Films S.A.,Cine Publicitario,18/5/2011,18/05/2011,14 DE JULIO 1062,14 DE JULIO,1062,VILLA ORTUZAR,COMUNA 15,1427,C1427CJV,"-58,4619264","-34,58114552"
2013,34,Novela Arbol,Endemol Argentina S.A.,Programa Televisivo,25/3/2013,25/03/2013,14 DE JULIO 1101,14 DE JULIO,1101,VILLA ORTUZAR,COMUNA 15,1427,C1427CJW,"-58,46181594","-34,58062656"
